Internship Id,Role,Company Name,Location,Duration,Stipend,Intern Type,Skills,Perks,Hiring Since,Opportunity Date,Opening,Hired Candidate,Number of Applications,Website Link,Stipend Amount,Has Skills,Has Perks,Stipend Specified,City,Country,Posting Date,Posting Month,Posting Year,Days Since Posted,Number of Skills,Number of Perks,Duration Category_Long-term (5-6 months),Duration Category_Medium-term (3-4 months),Duration Category_Short-term (1-2 months),Stipend Currency_GBP,Stipend Currency_INR,Stipend Currency_Performance-based,Stipend Currency_USD,Stipend Currency_Unknown,Stipend Currency_Unpaid,Stipend Currency_Unspecified
2458303,Digital Marketing Internship,AppITron Solutions Private Limited,"('Jaipur', 'Jaipur', 'Jaipur', 'Jaipur')",6,"₹ 6,000 /month","['Internship', 'Internship with job offer']","['Creative Writing', 'Digital Marketing', 'English Proficiency (Written)', 'Social Media Marketing']","['Certificate', 'Flexible work hours', '5 days a week']",Hiring since November 2022,11 opportunities posted,5,,0.0,http://appitronsolutions.com,6000.0,True,True,True,('Jaipur','Jaipur'),,,,,4,3,True,False,False,False,True,False,False,False,False,False
2458302,Social Media Marketing Internship,Wolf Bread,"('Thane, Mumbai', 'Mumbai', 'Mumbai', 'Mumbai')",5,"₹ 5,000 /month","['Internship with job offer', 'Internship with job offer', 'Internship with job offer']","['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Informal dress code', '5 days a week', 'Job offer']",Hiring since May 2023,6 opportunities posted,1,,0.0,,5000.0,True,True,True,('Thane,'Mumbai'),,,,,5,5,True,False,False,False,True,False,False,False,False,False
2457675,Sales Consultant Internship,Amzent Finserv Private Limited,"('Delhi', 'Delhi, Pune, Bangalore, Mumbai, Nagpur', 'Delhi, Gurgaon', 'Delhi, Ghaziabad')",6,"₹ 10,000 /month","['Internship', 'Internship with job offer', 'Internship with job offer', 'Internship with job offer']","['Certificate', 'Letter of recommendation']","['Certificate', 'Letter of recommendation']",Hiring since April 2024,1 opportunity posted,15,,0.0,http://mycreditbaba.com,10000.0,True,True,True,('Delhi',Ghaziabad'),,,,,2,2,True,False,False,False,True,False,False,False,False,False
2458300,Accounts Internship,Wasi Structures Private Limited,"('Bangalore', 'Bangalore', 'Bangalore', 'Bangalore')",6,"₹ 2,000 /month +  Incentives","['Internship', 'Internship with job offer', 'Internship with job offer']","['Accounting', 'MS-Excel', 'MS-Office', 'Tally']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']",Hiring since June 2019,29 opportunities posted,2,3 candidates hired,0.0,,2000.0,True,True,True,('Bangalore','Bangalore'),,,,,4,4,True,False,False,False,True,False,False,False,False,False
2454190,Social Media Marketing Internship (Remote),Chetna Dhull,"('Work from home', 'Work from home', 'Work from home', 'Work from home')",3,"₹ 5,000 /month",['Internship'],"['Facebook Marketing', 'Instagram Marketing', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']",Hiring since April 2024,1 opportunity posted,2,,0.0,https://www.linkedin.com/in/chetna-dhull-71599073,5000.0,True,True,True,('Work from home','Work from home'),,,,,3,4,False,True,False,False,True,False,False,False,False,False
2458294,Social Media Marketing Internship,Sliceinn,"('Indiranagar',)",3,"₹ 10,000-20,000 /month",['Internship'],"['Content Marketing', 'Digital Marketing', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Flexible work hours']",Hiring since March 2024,2 opportunities posted,1,,0.0,http://www.sliceinn.in,10000.0,True,True,True,('Indiranagar',),,,,,3,3,False,True,False,False,True,False,False,False,False,False
2457671,Marketing Internship (Part time/Remote),Zeko,"('Work from home', 'Work from home', 'Work from home', 'Work from home')",3,"₹ 3,000 /month",['Internship'],"['Digital Marketing', 'Effective Communication', 'Email Marketing', 'LinkedIn Marketing', 'MS-Excel', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Flexible work hours']",Hiring since April 2024,1 opportunity posted,1,,0.0,https://zeko.ai,3000.0,True,True,True,('Work from home','Work from home'),,,,,6,3,False,True,False,False,True,False,False,False,False,False
2458293,Social Media Marketing Internship,Jaikrit Marketing And Branding Solutions LLP,"('Mumbai, Mira Bhayandar', 'Mumbai', 'Mumbai', 'Mumbai')",6,"₹ 3,000-7,000 /month","['Internship with job offer', 'Internship with job offer']","['Adobe Creative Suite', 'Canva', 'Creative Writing', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing', 'Video Editing', 'Video Making']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', 'Free snacks & beverages', 'Job offer']",Hiring since March 2022,17 opportunities posted,4,2 candidates hired,0.0,,3000.0,True,True,True,('Mumbai,'Mumbai'),,,,,11,6,True,False,False,False,True,False,False,False,False,False
2458288,Video Editing/Making Internship (Remote),Team Car Delight,"('Work from home', 'Work from home', 'Work from home', 'Work from home')",6,"₹ 15,000-20,000 /month","['Internship', 'Internship with job offer']",['Adobe After Effects'],[],Hiring since December 2019,99 opportunities posted,5,4 candidates hired,0.0,https://instagram.com/teamcardelight,15000.0,True,False,True,('Work from home','Work from home'),,,,,1,0,True,False,False,False,True,False,False,False,False,False
2457653,Business Development (Sales) Internship,Mindcheq,"('Noida', 'Noida', 'Noida', 'Noida')",6,"₹ 10,000 /month","['Internship', 'Internship with job offer']","['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Video Editing']","['Certificate', 'Letter of recommendation', '5 days a week']",Hiring since April 2024,1 opportunity posted,1,,0.0,https://mindcheq.co/,10000.0,True,True,True,('Noida','Noida'),,,,,5,3,True,False,False,False,True,False,False,False,False,False
