Internship Id,Duration,Opening,Number of Applications,Stipend Amount,Posting Month,Posting Year,Days Since Posted,Number of Skills,Number of Perks,Role,Company Name,Duration Category,Stipend Currency,Application Volume,City,Country
2462078,2,4,0.0,15000.0,,,,4,3,Human Resources (HR) Internship (Part time),Avaari,Short-term (1-2 months),INR,Early Applicant,('Bhubaneswar,)
2461124,2,11,0.0,7500.0,,,,2,3,Marketing Specialist Internship,Alfa PEB Limited,Short-term (1-2 months),INR,Early Applicant,('Hosur',)
2462079,2,5,0.0,12000.0,,,,4,3,Content Writing Internship (Part time),Avaari,Short-term (1-2 months),INR,Early Applicant,('Chandigarh,)
2462067,2,5,0.0,15000.0,,,,3,3,Interior Design Internship (Part time),Avaari,Short-term (1-2 months),INR,Early Applicant,('Ahmedabad,)
2462075,2,7,0.0,12000.0,,,,6,3,Electrical Engineering Internship (Part time),Avaari,Short-term (1-2 months),INR,Early Applicant,('Aurangabad,)
2461697,2,1,0.0,5000.0,,,,8,0,Content Writing Internship,Avaesa,Short-term (1-2 months),INR,Early Applicant,('Chennai',)
2461423,2,1,0.0,9000.0,,,,6,1,Business Development (Sales) Internship,Vedev Events,Short-term (1-2 months),INR,Early Applicant,('Noida',)
2461863,6,1,0.0,18000.0,,,,3,3,Student Counselling and Support Internship,Internshala Trainings,Long-term (5-6 months),INR,Early Applicant,('Gurgaon',)
2462074,2,5,0.0,15000.0,,,,6,3,Civil Engineering Internship (Part time),Avaari,Short-term (1-2 months),INR,Early Applicant,('Ahmedabad,)
2461910,3,4,0.0,8000.0,,,,2,2,Game Tester Internship,IDZ Digital Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Mumbai',)
2462066,2,5,0.0,15000.0,,,,6,3,Mechanical Engineering Internship (Part time),Avaari,Short-term (1-2 months),INR,Early Applicant,('Ahmedabad,)
2462198,6,5,0.0,1000.0,,,,3,4,Mathematics Internship (Remote),Webwizard IT Solutions,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2462193,6,5,0.0,1000.0,,,,2,4,MS Office Support Internship (Remote),Webwizard IT Solutions,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2461732,4,2,0.0,15000.0,,,,4,5,Finance & Accounting Internship,Plunes Healthcare,Medium-term (3-4 months),INR,Early Applicant,('Gurgaon',)
2462185,6,5,0.0,1000.0,,,,6,4,English Speaker Internship (Remote),Webwizard IT Solutions,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2462183,6,5,0.0,1000.0,,,,5,4,Computer Operations Internship (Remote),Webwizard IT Solutions,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2462195,6,5,0.0,1000.0,,,,2,4,Hindi Language Internship (Remote),Codecraft IT Solutions,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2462286,3,3,0.0,2000.0,,,,4,5,Motion Graphics. Video Editor Internship (Remote),SRI DAKSHINAMURTHY ACADEMY (OPC) PRIVATE LIMITED,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2462189,6,5,0.0,1000.0,,,,6,4,English Teaching Internship (Remote),Webwizard IT Solutions,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2462257,3,20,0.0,3000.0,,,,1,4,Telecalling Internship (Remote),Toriox OPC Pvt Ltd,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2457023,6,1,0.0,3000.0,,,,4,3,Sales Consultant Internship (Remote),Broomling Technologies,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2462370,3,6,0.0,6000.0,,,,3,2,Lead Generation Internship (Remote),Hex Wireless Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2462180,6,5,0.0,1000.0,,,,3,0,E-Commerce Internship (Remote),Webwizard IT Solutions,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2366693,3,2,0.0,5000.0,,,,5,5,Marketing Internship (Remote),House Of Krishna,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2461187,3,1,0.0,15000.0,,,,5,4,Social Media Marketing Internship,Bandbaajaa,Medium-term (3-4 months),INR,Early Applicant,('Noida',)
2443309,1,6,0.0,5000.0,,,,3,1,"Subject Matter Expert (SME) - Maths, Physics, Chemistry, Biology & Computer Science Internship (Remote)",Fullscore Learning Private Limited,Short-term (1-2 months),INR,Early Applicant,('Work from home',)
2462383,6,10,0.0,5000.0,,,,2,2,Content Development- Advanced Placement Exam (Hindi) Internship (Part time/Remote),HaZZten,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2462283,3,10,0.0,3000.0,,,,1,4,Human Resources (HR) Internship (Remote),Toriox OPC Pvt Ltd,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2461756,2,4,0.0,10000.0,,,,4,3,Quality Check (Editorial) Internship,Eupheus Learning,Short-term (1-2 months),INR,Early Applicant,('Delhi',)
2462415,1,5,0.0,500.0,,,,1,0,Reel Creator Internship (Remote),Gharpayy,Short-term (1-2 months),INR,Early Applicant,('Work from home',)
2462301,3,1,0.0,3000.0,,,,6,4,Content Writing Internship (Remote),Computer Market Hub,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2462426,6,8,0.0,2000.0,,,,11,3,Digital Marketing Internship (Remote),SwasthAham,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2460908,1,100,0.0,225.0,,,,4,4,Fundraising Volunteer Internship (Part time/Remote),Odisha Development Management Programme (ODMP),Short-term (1-2 months),INR,Early Applicant,('Work from home',)
2461864,1,100,0.0,0.0,,,,3,3,Fundraising Internship (Part time/Remote),Kshitiksha Foundation,Short-term (1-2 months),Unpaid,Early Applicant,('Work from home',)
2462237,6,5,0.0,15000.0,,,,4,4,Telecalling Internship (Remote),One Root,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2462191,1,200,0.0,0.0,,,,6,2,Content Writing Volunteer Internship (Part time/Remote),Earth5R,Short-term (1-2 months),Unpaid,Early Applicant,('Work from home',)
2462355,6,1,0.0,10000.0,,,,3,2,Digital Marketing Internship (Remote),Jalan Technology Consulting,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2462398,3,1,0.0,10000.0,,,,2,2,Graphic Design Internship (Remote),Dobby Ads,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2461708,6,2,0.0,4000.0,,,,6,1,Operations Internship (Remote),Reya International,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2461959,3,4,0.0,15000.0,,,,3,5,Full Stack Development Internship,Mithya Labs Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Dharamshala',)
2461912,3,3,0.0,10000.0,,,,5,2,Game Tester Internship,IDZ Digital Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Mumbai',)
2461610,2,10,0.0,25000.0,,,,3,3,Sales Internship,Oben Electric Vehicles Private Limited,Short-term (1-2 months),INR,Early Applicant,('Bangalore',)
2462263,3,1,0.0,5000.0,,,,9,4,Digital Marketing Internship (Remote),Computer Market Hub,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2457866,3,10,0.0,5000.0,,,,9,4,Social Media Marketing Internship (Part time/Remote),Infits,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2460849,3,2,0.0,20000.0,,,,3,6,Customer Service/Customer Support Internship,Edumerge Solutions Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Bangalore',)
2462420,6,20,0.0,5000.0,,,,4,2,Prompt Creators- Tamil Internship (Part time/Remote),HaZZten,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2452519,6,1,0.0,5000.0,,,,12,0,Social Media Marketing Internship (Part time/Remote),Power Digital,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2461963,3,4,0.0,5000.0,,,,5,2,Business Development (Sales) Internship (Part time/Remote),ShikshaGurus,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2461862,1,20,0.0,0.0,,,,3,3,Business Development (Sales) Internship (Part time/Remote),Kshitiksha Foundation,Short-term (1-2 months),Unpaid,Early Applicant,('Work from home',)
2462013,2,8,0.0,15000.0,,,,6,4,Social Media Marketing Internship (Part time),MentorBoxx,Short-term (1-2 months),INR,Early Applicant,('Faridabad,)
2461834,3,4,0.0,12000.0,,,,0,0,Sales Internship (Remote),WEBINISER LTD,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2462316,3,1,0.0,4000.0,,,,6,4,Social Media Manager Internship (Remote),Computer Market Hub,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2461734,4,3,0.0,10000.0,,,,3,3,Sales Officer Internship (Remote),Ozibook Tech Solutions Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2461612,3,2,0.0,10000.0,,,,6,6,Business Development (Sales) Internship,Simit Bhagat Studios,Medium-term (3-4 months),INR,Early Applicant,('Mumbai',)
2462178,3,2,0.0,3000.0,,,,6,3,Graphic Design Internship (Part time/Remote),HIREKARMA Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2462148,6,5,0.0,10000.0,,,,1,0,Drop Shipping Sales (Work From Home) Internship (Remote),DeoDap International Private Limited,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2462009,2,10,0.0,15000.0,,,,4,4,Business Development (Sales) Internship (Part time),MentorBoxx,Short-term (1-2 months),INR,Early Applicant,('Aurangabad,)
2461794,1,25,0.0,0.0,,,,3,3,Fundraising Internship (Part time/Remote),Jankalyan Multipurpose Education Society,Short-term (1-2 months),Unpaid,Early Applicant,('Work from home',)
2461782,6,10,0.0,1500.0,,,,2,2,Online Chess Tutor Internship (Part time/Remote),Narigiri's Connect To Universe Private Limited,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2461258,2,1,0.0,30000.0,,,,2,4,Product Analyst Internship,Grapevine,Short-term (1-2 months),INR,Early Applicant,('Bangalore',)
2461765,2,1,0.0,8000.0,,,,3,2,Graphic Designer And Photo Editing Internship (Remote),Material Depot,Short-term (1-2 months),INR,Early Applicant,('Work from home',)
2461748,1,5,0.0,1500.0,,,,2,4,Business Development (Sales) Internship (Remote),Vedaz,Short-term (1-2 months),INR,Early Applicant,('Work from home',)
2461812,4,2,0.0,5000.0,,,,5,3,Political Writing (Hindi) Internship (Remote),Jambudweep Shodh Kendra,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2460768,6,1,0.0,10000.0,,,,4,3,Content & E-Commerce Management Internship (Remote),Shri Hari Polymers,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2461660,6,5,0.0,900.0,,,,3,2,Digital Marketing (Programatic SEO) Internship (Remote),Challaturu Engineering Services (CES),Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2461923,5,5,0.0,5000.0,,,,7,2,Project Management Internship (Remote),Naarg Data Media Services,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2461072,1,2,0.0,0.0,,,,4,3,Content Writing Internship (Part time/Remote),Kshitiksha Foundation,Short-term (1-2 months),Unpaid,Early Applicant,('Work from home',)
2462007,2,2,0.0,18000.0,,,,10,3,Digital Marketing Internship (Part time),MentorBoxx,Short-term (1-2 months),INR,Early Applicant,('Chennai,)
2461586,3,3,0.0,8000.0,,,,3,4,Business Development (Sales) Internship (Remote),Teleachievers E-Services Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2461550,3,2,0.0,5000.0,,,,8,3,Graphic Design Internship (Remote),Trinity Institute Of Foreign Languages,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2461710,3,4,0.0,5000.0,,,,2,2,Telecalling Internship (Remote),Educase India,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2461213,2,3,0.0,7000.0,,,,7,3,Marketing Internship (Remote),HN Brain Works,Short-term (1-2 months),INR,Early Applicant,('Work from home',)
2461733,6,3,0.0,4000.0,,,,2,2,Auditor Internship (Remote),Highway Delite,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2461751,2,1,0.0,2500.0,,,,5,3,Automatic Speech Recognition (ASR) Tool Development Internship (Remote),Marwari Catalysts,Short-term (1-2 months),INR,Early Applicant,('Work from home',)
2461617,6,2,0.0,2500.0,,,,7,3,Market Research Internship (Remote),Flair Insights,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2461908,6,10,0.0,5000.0,,,,2,2,Kids Coordinator (Kids Tester) Internship (Part time/Remote),IDZ Digital Private Limited,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2453204,1,50,0.0,0.0,,,,3,3,Online Marketing Internship (Part time/Remote),Kshitiksha Foundation,Short-term (1-2 months),Unpaid,Early Applicant,('Work from home',)
2461540,3,2,0.0,10000.0,,,,5,3,Content Writer (AI Focus) - Blog Posts & Newsletters Internship (Remote),"Duraid Shaihob (London, United Kingdom)",Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2461560,6,4,0.0,15000.0,,,,4,4,Deep Learning Engineer Internship,APTAGRIM CONSULTING PRIVATE LIMITED,Long-term (5-6 months),INR,Early Applicant,('Hyderabad',)
2462105,6,10,0.0,1000.0,,,,6,2,Data Entry Internship (Part time/Remote),Codecraft IT Solutions,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2462106,6,5,0.0,1000.0,,,,3,0,Data Entry Internship (Part time/Remote),Codecraft IT Solutions,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2461920,5,5,0.0,5000.0,,,,15,2,Social Media Marketing Internship (Remote),Naarg Data Media Services,Long-term (5-6 months),INR,Early Applicant,('Work from home',)
2462004,2,10,0.0,20000.0,,,,3,5,Game Development Internship (Part time),MentorBoxx,Short-term (1-2 months),INR,Early Applicant,('Amritsar,)
