Internship Id,Duration,Opening,Number of Applications,Stipend Amount,Posting Month,Posting Year,Days Since Posted,Number of Skills,Number of Perks,Role,Company Name,Duration Category,Stipend Currency,Application Volume,City,Country
2462245,1,5,0.0,25000.0,,,,2,5,Maths Trainer Internship,SR Edu Technologies,Short-term (1-2 months),INR,Early Applicant,('Hyderabad',)
2462204,6,2,0.0,8000.0,,,,5,6,Content Writing Internship,Growify Digital,Long-term (5-6 months),INR,Early Applicant,('Delhi',)
2462255,6,4,0.0,5000.0,,,,7,3,Content Writing Internship,Fabulous Media Private Limited,Long-term (5-6 months),INR,Early Applicant,('Gurgaon',)
2462076,2,5,0.0,18000.0,,,,6,3,Marketing Internship,Avaari,Short-term (1-2 months),INR,Early Applicant,('Chandigarh,)
2462315,3,4,0.0,10000.0,,,,5,0,Social Media Marketing Internship,Brandshark,Medium-term (3-4 months),INR,Early Applicant,('Bangalore',)
2461752,1,2,0.0,10000.0,,,,5,3,Editorial Internship,Eupheus Learning,Short-term (1-2 months),INR,Early Applicant,('Delhi',)
2462248,1,5,0.0,25000.0,,,,1,5,English Trainer Internship,SR Edu Technologies,Short-term (1-2 months),INR,Early Applicant,('Hyderabad',)
2462319,6,2,0.0,10000.0,,,,2,5,Agriculture & Food Engineering Internship,One Root,Long-term (5-6 months),INR,Early Applicant,('Bangalore',)
2461484,6,2,0.0,10000.0,,,,7,6,Architecture Internship,Rucira Architects,Long-term (5-6 months),INR,Early Applicant,('Bangalore',)
2461813,3,2,0.0,6000.0,,,,4,4,Social Media Marketing Internship,Uboard India Limited,Medium-term (3-4 months),INR,Early Applicant,('Gurgaon,)
2461497,3,1,0.0,10000.0,,,,1,0,Content & E-Commerce Management Internship,Evobi Automation Private Limited (Bibox Labs),Medium-term (3-4 months),INR,Early Applicant,('Bangalore',)
2462062,3,7,0.0,10000.0,,,,4,5,Human Resources (HR) & Marketing Internship (Part time),Avaari,Medium-term (3-4 months),INR,Early Applicant,('Chennai,)
2462065,1,3,0.0,15000.0,,,,5,3,Photography Internship (Part time),Avaari,Short-term (1-2 months),INR,Early Applicant,('Ahmedabad,)
2462015,2,5,0.0,15000.0,,,,10,4,Graphic Design Internship (Part time),MentorBoxx,Short-term (1-2 months),INR,Early Applicant,('Ahmedabad,)
2462072,2,5,0.0,20000.0,,,,5,3,Business Development (Sales) Internship (Part time),Avaari,Short-term (1-2 months),INR,Early Applicant,('Ahmedabad,)
